Anterior	Actual
CHA_77V		CHA_77V
p2523		p2523
c137_B		c137_B
cB_107		cB_107
.BG-63		p_BG_63
cA_442		cA_442
cB_333		cB_333
cHER_1		cHER_1
cA_471		cA_471
dSAT3		dSAT3
BG-60		BG_60
c136_B		c136_B
dSAT8		dSAT8
s79		s79
c102_B		c102_B
s286		s286
dSAT7		dSAT7
s80		s80
d247CP		d247CP
dSAT6		dSAT6
s294		s294
cDX_96		cDX_96
cBG_99V		cBG_99V
c2788		c2788
dSAT2		dSAT2
p2544		p2544
s234_A		s234_A
d219CP		d219CP
p2105		p2105
p1473		p1473
p1039		p1039
s29		s29
c114_B		c114_B
s67		s67
p2632		p2632
s180		s180
d214CP		d214CP
p2303		p2303
s135		s135
s98		s98
CB_806		CB_806
s229		s229
s154		s154
d218CP		d218CP
d216CP		d216CP
p2025		p2025
s36		s36
d217CP		d217CP
cDX_86V		cDX_86V
s141		s141
p1971		p1971
s33		s33
c2765		c2765
cDW_47		cDW_47
s137		s137
A-130		A_130
s18		s18
s89		s89
p1785		p1785
s16		s16
c2798V		c2798V
d215CP		d215CP
s66		s66
s120		s120
s282		s282
c113_B		c113_B
s281		s281
p2372		p2372
sPS_21		sPS_21
s173		s173
c6402		c6402
s140		s140
p1327		p1327
s34		s34
cRS_20B		cRS_20B
s85		s85
cFA_03V		cFA_03V
s313		s313
s39		s39
p2232		p2232
s231		s231
s171		s171
s172		s172
s280		s280
s44		s44
s57		s57
s84		s84
cBO_67		cBO_67
p1963		p1963
s236		s236
s54		s54
s148		s148
s320		s320
p2397		p2397
s31		s31
p1497		p1497
cB_643		cB_643
s285		s285
sPS_19		sPS_19
s131		s131
p1619		p1619
c6432		c6432
c2616		c2616
s288		s288
s78		s78
s284		s284
p2676		p2676
s133		s133
p2205		p2205
s166		s166
s165		s165
s26		s26
p857		p857
s256		s256
s299		s299
p2360		p2360
cRS_17		cRS_17
s87		s87
sPS_24		sPS_24
p2213		p2213
sPS_17		sPS_17
s295		s295
cFC_96		cFC_96
c2614		c2614
s188		s188
p2394		p2394
p1727		p1727
sR_1		sR_1
p2349		p2349
sR_2		sR_2
p267		p267
cRS_25		cRS_25
s301		s301
s223		s223
sPS_15		sPS_15
p480		p480
s287		s287
c6381		c6381
sPer_5		sPer_5
s159		s159
s314		s314
s196		s196
c133_B		c133_B
p1857		p1857
s300		s300
sR_3		sR_3
s309		s309
sR_4		sR_4
s12		s12
s311		s311
sPer_7		sPer_7
p269		p269
cRS_13		cRS_13
sPS_25		sPS_25
p2435		p2435
s2435		s2435
s198		s198
sR_10		sR_10
s24		s24
p1875		p1875
cAO_24		cAO_24
p2212		p2212
s217		s217
sR_8		sR_8
p689		p689
sPS_12		sPS_12
p1916		p1916
sR_5		sR_5
sPer_6		sPer_6
sPer_4		sPer_4
E-409		E_409
sR_7		sR_7
p1981		p1981
sPS_28		sPS_28
sPS_11		sPS_11
RS-11		RS_11
sR_9		sR_9
sR_6		sR_6
s220		s220
s2434		s2434
p2434		p2434
sPS_29		sPS_29
sPS_30		sPS_30
p2075		p2075
p2324		p2324
c2755		c2755
sPer_3		sPer_3
p2680		p2680
cC_411V		cC_411V
p1078		p1078
cRS_31B		cRS_31B
s17		s17
s90_A		s90_A
new0.5545		new0_5545
c6757V		c6757V
sPS_31		sPS_31
p816		p816
s321		s321
p2161		p2161
new0.5311		new0_5311
p2396		p2396
s302		s302
p2514		p2514
p1646		p1646
p2433		p2433
p2305		p2305
p165		p165
s221		s221
sPS_32		sPS_32
p1911		p1911
sPer_1		sPer_1
s226		s226
p2038		p2038
p1262		p1262
s111		s111
s149		s149
p1757		p1757
s122		s122
p160		p160
sPer_15		sPer_15
sS_9		sS_9
s271		s271
sPS_8		sPS_8
p1903		p1903
sPer_10		sPer_10
sPS_13		sPS_13
sPer_13		sPer_13
c6750		c6750
c2193		c2193
sPer_2		sPer_2
cRS_7B		cRS_7B
sXot_5C		sXot_5C
s94		s94
sXot_9A		sXot_9A
s163		s163
sXot_6C		sXot_6C
p1012		p1012
sPS_7		sPS_7
s305		s305
s307		s307
s170		s170
sS_2		sS_2
p2367		p2367
s169		s169
s164		s164
p1721		p1721
s168		s168
new0.8037		new0_8037
sPS_6		sPS_6
sN_5		sN_5
p1978		p1978
p531		p531
c1971		c1971
s51		s51
s308		s308
sPS_5		sPS_5
cRS_5B		cRS_5B
s60		s60
s151		s151
p2466		p2466
s95		s95
s2		s2
s186		s186
s138		s138
p2329		p2329
sPS_4		sPS_4
p150		p150
sPer_14		sPer_14
s314		s314
sPer_12		sPer_12
sS_8		sS_8
p889		p889
p2681		p2681
s152		s152
p2580		p2580
s27		s27
p2106		p2106
sPer_19		sPer_19
s53		s53
sPS_2		sPS_2
p2380		p2380
new0.6501		new0_6501
p1882		p1882
c6878V		c6878V
s117		s117
5681-V		p5681_V
c2004		c2004
s23		s23
sPS_1		sPS_1
cRS_1B		cRS_1B
sPer_16		sPer_16
sPer_17		sPer_17
sPS_33		sPS_33
sPS_34		sPS_34
sPer_18		sPer_18
sPS_35		sPS_35
p1479		p1479
sATN_19		sATN_19
s227		s227
s41		s41
new0.2599		new0_2599
s278		s278
c511V		c511V
cRN_2B		cRN_2B
s160		s160
p942		p942
sTN_1		sTN_1
sATN_27		sATN_27
sATN_26		sATN_26
sTN_2		sTN_2
sTN_3		sTN_3
cRN_4		cRN_4
sTN_4		sTN_4
p2624		p2624
sATN_24		sATN_24
sTN_5		sTN_5
sTN_6		sTN_6
cRN_7B		cRN_7B
c6695		c6695
s204		s204
c134_B		c134_B
sTN_8		sTN_8
p2637		p2637
sTN_9		sTN_9
sATN_20		sATN_20
s245		s245
new0.8138		new0_8138
s104		s104
sTN_10		sTN_10
s125		s125
s126		s126
cRN_10BIS		cRN_10BIS
sTN_11		sTN_11
dEN58		dEN58
5977-V		p5977_V
sSC_13		sSC_13
sTN_12		sTN_12
sSC_10		sSC_10
sTN_13		sTN_13
c76_B		c76_B
sSC_12		sSC_12
c2002		c2002
s244		s244
sTN_14		sTN_14
cRN_14C		cRN_14C
sTec_2		sTec_2
cRN_15B		cRN_15B
s274		s274
s275		s275
s243		s243
sTN_16		sTN_16
CBX-60		CBX_60
sTN_17		sTN_17
sTN_18		sTN_18
s325		s325
.RN-18D		p_RN_18D
0.1997		p0_1997
dEN42		dEN42
s115		s115
CBX-50V		CBX_50V
new0.5821		new0_5821
BX-50		BX_50
s113		s113
s107		s107
s247		s247
2157-V		p2157_V
s246		s246
sR_19		sR_19
sR_21		sR_21
sTul_3		sTul_3
sR_16		sR_16
sSC_2		sSC_2
sR_26		sR_26
RSC-5		RSC_5
sTec_8		sTec_8
sTec_5		sTec_5
sTec_6		sTec_6
sTec_7		sTec_7
RSC-4		RSC_4
t2235		t2235
RSC-1		RSC_1
sTec_9		sTec_9
c2239		c2239
RSC-2		RSC_2
t2147		t2147
sTec_15		sTec_15
eTEX_4		eTEX_4
eTEX_3		eTEX_3
tRM_11		tRM_11
eTEX_6		eTEX_6
eTEX_5		eTEX_5
tRM_7		tRM_7
eTEX_7		eTEX_7
t2146		t2146
sTec_18		sTec_18
t83_B		t83_B
tRM_1B		tRM_1B
tC_771		tC_771
eTEX_8		eTEX_8
eTEX_9		eTEX_9
eTEX_2		eTEX_2
eTEX_10		eTEX_10
eTEX_16		eTEX_16
eTEX_13		eTEX_13
B-936		B_936
eTEX_11		eTEX_11
tCO_34		tCO_34
t82_B		t82_B
eTEX_12		eTEX_12
eTEX_14		eTEX_14
eTEX_15		eTEX_15
cGO_83		cGO_83
tB_465V		tB_465V
t119_B		t119_B
t98_B		t98_B
tB_693		tB_693
tB_155		tB_155
t120_B		t120_B
tF_626V		tF_626V
tF_626		tF_626
tET_75		tET_75
t1528_V		t1528_V
tEC_36		tEC_36
t1609		t1609
tET_77V		tET_77V
t1609V		t1609V
tEC_35		tEC_35
tF_242		tF_242
tB_497V		tB_497V
tF_131		tF_131
tEW_55		tEW_55
t132_B		t132_B
tF_107		tF_107
t1_AV		t1_AV
t79_B		t79_B
tER_26V		tER_26V
tES_65		tES_65
tET_04		tET_04
tEP_87		tEP_87
tER_27V		tER_27V
tEX_07V		tEX_07V
tER_14		tER_14
tEW_39		tEW_39
tD_868		tD_868
t1541		t1541
t58_A		t58_A
t611_V		t611_V
t94_B		t94_B
tE_866		tE_866
t1767		t1767
tEN_83		tEN_83
tEN_97		tEN_97
tF_992V		tF_992V
tF_992		tF_992
tEP_55V		tEP_55V
tES_07		tES_07
tES_98		tES_98
tER_96		tER_96
tES_85		tES_85
tED_12		tED_12
tER_87V		tER_87V
tE_607V		tE_607V
tF_236V		tF_236V
tC_953V		tC_953V
tC_953		tC_953
t1691		t1691
tEO_20V		tEO_20V
tES_99		tES_99
tER_88		tER_88
tEC_11		tEC_11
t196(A)		t196_A_
t196V		t196V
tEO_53		tEO_53
tES_05V		tES_05V
tB_502		tB_502
eCHAL_4		eCHAL_4
eCHAL_7		eCHAL_7
t1934V		t1934V
eCHAL_6		eCHAL_6
tEN_58		tEN_58
eCHAL_5		eCHAL_5
tEP_47V		tEP_47V
tEA_69		tEA_69
