ID,X,Y,zona
t31_A,516534.0,2158640.0,zona1
tC_953V,512686.0,2160290.0,zona1
tE_866,511392.0,2162543.0,zona1
tEA_69,514070.0,2159991.0,zona1
tEA_82V,515788.0,2161123.0,zona1
tEB_15,514299.0,2160088.0,zona1
tEC_11,513227.0,2161552.0,zona1
tEC_35,508743.0,2164656.0,zona1
tED_12,512356.0,2160643.0,zona1
tEJ_18,516804.0,2159534.0,zona1
tEJ_20,517369.0,2160384.0,zona1
tEJ_86,517603.0,2160466.0,zona1
tEK_62,514946.0,2159566.0,zona1
tEL_03,516252.0,2165441.0,zona1
tEL_84,515507.0,2160768.0,zona1
tEL_87V,515421.0,2162547.0,zona1
tEM_03,514170.0,2162998.0,zona1
tEN_58,513801.0,2158046.0,zona1
tEN_83,511442.0,2158767.0,zona1
tEO_53,513268.0,2158986.0,zona1
tEP_87,510721.0,2159609.0,zona1
t58_A,511231.0,2158714.0,zona1
tEC_36,508241.0,2164156.0,zona1
tE_708,514453.0,2160919.0,zona1
tEM_74,516352.0,2163662.0,zona1
tB_155,506938.0,2161976.0,zona1
tB_273,507830.0,2166924.0,zona1
tEA_47,505668.0,2165526.0,zona1
tB_497,508783.0,2161714.0,zona1
tB_497V,508783.0,2161714.0,zona1
tC_953,512764.0,2160272.0,zona1
tE_607V,512443.0,2163648.0,zona1
tB_273V,507830.0,2166924.0,zona1
tB_465V,505961.0,2163726.0,zona1
tEA_82V,515788.0,2161123.0,zona1
p1327,480030.0,2143600.0,zona10
s120,479631.0,2143506.0,zona10
s150,480042.0,2143331.0,zona10
s36,478681.0,2141444.0,zona10
s154,478505.0,2144514.0,zona10
s90,478634.0,2141225.0,zona10
s98,478259.0,2141807.0,zona10
s16,479525.0,2142124.0,zona10
s181,479080.0,2143917.0,zona10
s89,479362.0,2140943.0,zona10
s25,479826.0,2143897.0,zona10
c6432,481505.0,2145294.0,zona11
.E-409,484272.7866,2146594.277,zona11
cE_409,484273.0,2146594.0,zona11
p1757,485856.0,2144708.0,zona11
p1963,480850.0,2145134.0,zona11
p2106,488563.0,2144893.0,zona11
p2360,481968.0,2145533.0,zona11
p2394,482661.0,2144362.0,zona11
p2679,488359.0,2145465.0,zona11
p2681,488359.0,2145465.0,zona11
p689,484059.0,2147109.0,zona11
p165,485443.0,2147375.0,zona11
p2397,481076.0,2145905.0,zona11
s2,487773.0,2146810.0,zona11
s91,485111.0,2143883.0,zona11
s13,485190.0,2144841.0,zona11
s14,485124.0,2145120.0,zona11
s27,488461.0,2146452.0,zona11
s45,487986.0,2144947.0,zona11
s51,487480.0,2146796.0,zona11
s92,485903.0,2144382.0,zona11
s190,488334.0,2145956.0,zona11
s105,483060.0,2143897.0,zona11
s144,487121.0,2145200.0,zona11
s72,480823.0,2144109.0,zona11
s196,483287.0,2146238.0,zona11
s60,487547.0,2143777.0,zona11
s199,484551.0,2144735.0,zona11
s17,485104.0,2145574.0,zona11
s90_A,485108.0,2143877.0,zona11
c6757V,485140.0,2151092.0,zona12
0.6501,488999.0,2148946.0,zona12
p1012,486908.0,2151378.0,zona12
p160,485909.0,2148625.0,zona12
p1646,485324.0,2150434.0,zona12
p1721,487188.0,2150261.0,zona12
p1916,484108.0,2152383.0,zona12
p1969,483553.0,2150442.0,zona12
p1978,487440.0,2149184.0,zona12
p1981,484393.0,2151731.0,zona12
p2038,485696.0,2149729.0,zona12
p2263,484724.0,2149425.0,zona12
p2324,484724.0,2149425.0,zona12
p2367,487148.0,2150740.0,zona12
p2380,488983.0,2148576.0,zona12
p2396,485281.0,2151376.0,zona12
p269,483659.0,2151364.0,zona12
s188,482650.0,2152058.0,zona12
p2212,484002.0,2151766.0,zona12
s149,485843.0,2150447.0,zona12
p2466,487726.0,2151876.0,zona12
s1,484606.0,2150489.0,zona12
s12,483553.0,2150442.0,zona12
p889,488279.0,2150527.0,zona12
s269,483663.0,2151362.0,zona12
cFA_03V,480244.0,2149422.0,zona12a
p1473,477703.0,2151220.0,zona12a
p1497,481232.0,2149602.0,zona12a
p1971,478825.0,2149811.0,zona12a
p2303,478217.0,2150465.0,zona12a
p2372,479796.0,2149439.0,zona12a
p2233,478217.0,2150465.0,zona12a
s166,481682.0,2148727.0,zona12a
s39,480340.0,2152100.0,zona12a
p2105,477608.0,2149511.0,zona12a
s131,481404.0,2150143.0,zona12a
s33,478852.0,2148058.0,zona12a
p2205,481682.0,2148727.0,zona12a
s80,476811.0,2147687.0,zona12a
s135,478238.0,2150738.0,zona12a
s85,480221.0,2151033.0,zona12a
s84,480760.0,2150404.0,zona12a
cDX_96,477230.0,2152432.0,zona13
cDX_86V,478767.0,2156034.0,zona13
cFC_96,482318.0,2153887.0,zona13
cA_442,474038.0,2154497.0,zona13
